user@ubunt:~/myservice$ docker compose logs myservice | grep -E "(Cache HIT|Cache MISS|Cache SET)" | tail -20
myservice-1  | tskv	timestamp=2026-05-07T10:04:01.425175	level=INFO	module=Get ( src/cache/cache_manager.cpp:26 )	trace_id=ce868aedcac33cc584012234e9727c4e	span_id=a62ec538442e242f	link=218ee7cc3e3afed06ea9a326ece09987	text=Cache HIT: projects:all
myservice-1  | tskv	timestamp=2026-05-07T10:04:01.425189	level=INFO	module=Get ( src/cache/cache_manager.cpp:26 )	trace_id=7b6ca4f8717d9a0c4e5eddacd304d8de	span_id=a02398df7f7c42d3	link=b819be539968038bc9e6797417aca9a6	text=Cache HIT: projects:all
myservice-1  | tskv	timestamp=2026-05-07T10:04:01.426241	level=INFO	module=Get ( src/cache/cache_manager.cpp:26 )	trace_id=42a2cf7b862689fcc8156d7d7ff6a8ff	span_id=ecb7d92bffb663cc	link=7bbc6eb7f813bdeebd355e41e45df417	text=Cache HIT: projects:all
myservice-1  | tskv	timestamp=2026-05-07T10:04:01.426655	level=INFO	module=Get ( src/cache/cache_manager.cpp:26 )	trace_id=2a18cb3747b8d1b4bf5e32fb7333c3a0	span_id=ef9b50db2c6b9b3f	link=b3c0af1f70c58956190153d247982eee	text=Cache HIT: projects:all
myservice-1  | tskv	timestamp=2026-05-07T10:04:01.426762	level=INFO	module=Get ( src/cache/cache_manager.cpp:26 )	trace_id=6bd858bef1f5022e19f7cd6de2e8e307	span_id=193eb85e2deb13da	link=f431dc1a32a8ba5b0f039059f2dd5194	text=Cache HIT: projects:all
myservice-1  | tskv	timestamp=2026-05-07T10:04:01.427360	level=INFO	module=Get ( src/cache/cache_manager.cpp:26 )	trace_id=3f763b56ef0440ad715c4bac9dbf2d13	span_id=724196c19b2d8145	link=dd0bb42bc30cdf1a76ca088f48ccd48e	text=Cache HIT: projects:all
myservice-1  | tskv	timestamp=2026-05-07T10:04:01.427996	level=INFO	module=Get ( src/cache/cache_manager.cpp:26 )	trace_id=15dd30573be4c7ad897d74865404a18d	span_id=d856fcb13d8824a8	link=a33ea0a315eac1db9c9a8438e4e6c19b	text=Cache HIT: projects:all
myservice-1  | tskv	timestamp=2026-05-07T10:04:01.428019	level=INFO	module=Get ( src/cache/cache_manager.cpp:26 )	trace_id=ca5cbaee92ca1ae04b5c367a4a2c580e	span_id=76f3b1ba2486fcde	link=0d350f659174cbd4cc36dca68c2c4651	text=Cache HIT: projects:all
myservice-1  | tskv	timestamp=2026-05-07T10:04:01.428064	level=INFO	module=Get ( src/cache/cache_manager.cpp:26 )	trace_id=16ddd325380ce4168431a774fd504c70	span_id=53e4c19aa5349ff3	link=a5562c12b9df562fd52b08a434131145	text=Cache HIT: projects:all
myservice-1  | tskv	timestamp=2026-05-07T10:04:01.428099	level=INFO	module=Get ( src/cache/cache_manager.cpp:26 )	trace_id=f22864cd38c073f10d673ade9b564fcd	span_id=31c8c39b932a06b4	link=0bd635706df3c65dbfb155993c2bfbc1	text=Cache HIT: projects:all
